"path","ratio","sub_h","method","method_code","parameter","estimate","truth"
29,200,0.02,"Fixed point linearization","fix","gamma",1.01473737158312,1.5
29,200,0.02,"Fixed point linearization","fix","beta",0.276564731213856,1.4
29,200,0.02,"Fixed point linearization","fix","sigma[1]",0.314525749050761,0.3
29,200,0.02,"Fixed point linearization","fix","sigma[2]",0.482287522514977,0.5
30,200,0.02,"Fixed point linearization","fix","epsilon",0.0516787783777636,0.1
30,200,0.02,"Fixed point linearization","fix","alpha",0.506584629432202,0.5
30,200,0.02,"Fixed point linearization","fix","gamma",1.25058364716119,1.5
30,200,0.02,"Fixed point linearization","fix","beta",0.142974927345035,1.4
30,200,0.02,"Fixed point linearization","fix","sigma[1]",0.323822449430046,0.3
30,200,0.02,"Fixed point linearization","fix","sigma[2]",0.488305587070434,0.5
31,200,0.02,"Fixed point linearization","fix","epsilon",0.0514047980477025,0.1
31,200,0.02,"Fixed point linearization","fix","alpha",0.493139562263912,0.5
31,200,0.02,"Fixed point linearization","fix","gamma",1.26523500506875,1.5
31,200,0.02,"Fixed point linearization","fix","beta",0.896808988153342,1.4
31,200,0.02,"Fixed point linearization","fix","sigma[1]",0.306815238438919,0.3
31,200,0.02,"Fixed point linearization","fix","sigma[2]",0.520962777560067,0.5
32,200,0.02,"Fixed point linearization","fix","epsilon",0.0511133763027208,0.1
32,200,0.02,"Fixed point linearization","fix","alpha",0.509246656013538,0.5
32,200,0.02,"Fixed point linearization","fix","gamma",1.25277089482918,1.5
32,200,0.02,"Fixed point linearization","fix","beta",0.0780900255019707,1.4
32,200,0.02,"Fixed point linearization","fix","sigma[1]",0.326779992511154,0.3
32,200,0.02,"Fixed point linearization","fix","sigma[2]",0.509871864628419,0.5
33,200,0.02,"Fixed point linearization","fix","epsilon",0.0506274207727166,0.1
33,200,0.02,"Fixed point linearization","fix","alpha",0.501616191592495,0.5
33,200,0.02,"Fixed point linearization","fix","gamma",1.48263592298255,1.5
33,200,0.02,"Fixed point linearization","fix","beta",0.00123079613078865,1.4
33,200,0.02,"Fixed point linearization","fix","sigma[1]",0.326256544441974,0.3
33,200,0.02,"Fixed point linearization","fix","sigma[2]",0.496015589285951,0.5
34,200,0.02,"Fixed point linearization","fix","epsilon",0.0514222679672919,0.1
34,200,0.02,"Fixed point linearization","fix","alpha",0.493139556756991,0.5
34,200,0.02,"Fixed point linearization","fix","gamma",1.33513407623179,1.5
34,200,0.02,"Fixed point linearization","fix","beta",0.924595988741006,1.4
34,200,0.02,"Fixed point linearization","fix","sigma[1]",0.328479033040976,0.3
34,200,0.02,"Fixed point linearization","fix","sigma[2]",0.52031059801518,0.5
35,200,0.02,"Fixed point linearization","fix","epsilon",0.0504979895100402,0.1
35,200,0.02,"Fixed point linearization","fix","alpha",0.50973743745843,0.5
35,200,0.02,"Fixed point linearization","fix","gamma",1.21014794450685,1.5
35,200,0.02,"Fixed point linearization","fix","beta",0.191344543633206,1.4
35,200,0.02,"Fixed point linearization","fix","sigma[1]",0.317390975620965,0.3
35,200,0.02,"Fixed point linearization","fix","sigma[2]",0.489692966415007,0.5
36,200,0.02,"Fixed point linearization","fix","epsilon",0.0518627544104993,0.1
36,200,0.02,"Fixed point linearization","fix","alpha",0.509047056745973,0.5
36,200,0.02,"Fixed point linearization","fix","gamma",1.18098107796638,1.5
36,200,0.02,"Fixed point linearization","fix","beta",0.162325122054062,1.4
36,200,0.02,"Fixed point linearization","fix","sigma[1]",0.329951105371496,0.3
