"path","ratio","sub_h","method","method_code","parameter","estimate","truth"
33,200,0.02,"Fixed point linearization","fix","sigma[2]",0.487704123782185,0.5
34,200,0.02,"Fixed point linearization","fix","epsilon",0.100333779964227,0.1
34,200,0.02,"Fixed point linearization","fix","alpha",0.48184809718075,0.5
34,200,0.02,"Fixed point linearization","fix","gamma",1.30505595525029,1.5
34,200,0.02,"Fixed point linearization","fix","beta",0.659437940049714,0.6
34,200,0.02,"Fixed point linearization","fix","sigma[1]",0.298881729746548,0.3
34,200,0.02,"Fixed point linearization","fix","sigma[2]",0.503437032657982,0.5
35,200,0.02,"Fixed point linearization","fix","epsilon",0.100481177980137,0.1
35,200,0.02,"Fixed point linearization","fix","alpha",0.506916326158594,0.5
35,200,0.02,"Fixed point linearization","fix","gamma",1.3696230905604,1.5
35,200,0.02,"Fixed point linearization","fix","beta",0.738217980987509,0.6
35,200,0.02,"Fixed point linearization","fix","sigma[1]",0.306736142788525,0.3
35,200,0.02,"Fixed point linearization","fix","sigma[2]",0.508744646693691,0.5
36,200,0.02,"Fixed point linearization","fix","epsilon",0.103666320513605,0.1
36,200,0.02,"Fixed point linearization","fix","alpha",0.505816202065194,0.5
36,200,0.02,"Fixed point linearization","fix","gamma",1.25507636836802,1.5
36,200,0.02,"Fixed point linearization","fix","beta",0.661084246300228,0.6
36,200,0.02,"Fixed point linearization","fix","sigma[1]",0.303792646691836,0.3
36,200,0.02,"Fixed point linearization","fix","sigma[2]",0.480035448421313,0.5
37,200,0.02,"Fixed point linearization","fix","epsilon",0.100694179703099,0.1
37,200,0.02,"Fixed point linearization","fix","alpha",0.494671520603877,0.5
37,200,0.02,"Fixed point linearization","fix","gamma",1.239116358743,1.5
37,200,0.02,"Fixed point linearization","fix","beta",0.613436613553083,0.6
37,200,0.02,"Fixed point linearization","fix","sigma[1]",0.317347049906279,0.3
37,200,0.02,"Fixed point linearization","fix","sigma[2]",0.500851770096572,0.5
38,200,0.02,"Fixed point linearization","fix","epsilon",0.0962978023690137,0.1
38,200,0.02,"Fixed point linearization","fix","alpha",0.489888349618078,0.5
38,200,0.02,"Fixed point linearization","fix","gamma",1.21364099090852,1.5
38,200,0.02,"Fixed point linearization","fix","beta",0.664591553971776,0.6
38,200,0.02,"Fixed point linearization","fix","sigma[1]",0.311432480457074,0.3
38,200,0.02,"Fixed point linearization","fix","sigma[2]",0.495164915412397,0.5
39,200,0.02,"Fixed point linearization","fix","epsilon",0.0982105601572864,0.1
39,200,0.02,"Fixed point linearization","fix","alpha",0.495290557972118,0.5
39,200,0.02,"Fixed point linearization","fix","gamma",1.35127564970618,1.5
39,200,0.02,"Fixed point linearization","fix","beta",0.707441162552913,0.6
39,200,0.02,"Fixed point linearization","fix","sigma[1]",0.296744247109764,0.3
39,200,0.02,"Fixed point linearization","fix","sigma[2]",0.499918377253126,0.5
40,200,0.02,"Fixed point linearization","fix","epsilon",0.100062755868464,0.1
