"path","ratio","sub_h","method","parameter","estimate","truth"
48,200,0.02,"fix","epsilon",0.100792782191069,0.1
48,200,0.02,"fix","alpha",0.498730685096981,0.5
48,200,0.02,"fix","gamma",1.19613830304217,1.5
48,200,0.02,"fix","beta",1.15323282244587,1.4
48,200,0.02,"fix","sigma[1]",0.301061585976293,0.3
48,200,0.02,"fix","sigma[2]",0.491595454269766,0.5
49,200,0.02,"fix","epsilon",0.100328784322343,0.1
49,200,0.02,"fix","alpha",0.507715647261425,0.5
49,200,0.02,"fix","gamma",1.26438841159826,1.5
49,200,0.02,"fix","beta",0.945055087017658,1.4
49,200,0.02,"fix","sigma[1]",0.28933392886563,0.3
49,200,0.02,"fix","sigma[2]",0.503275303614125,0.5
50,200,0.02,"fix","epsilon",0.100144203027982,0.1
50,200,0.02,"fix","alpha",0.508795882625074,0.5
50,200,0.02,"fix","gamma",1.21798907854446,1.5
50,200,0.02,"fix","beta",1.01611388749021,1.4
50,200,0.02,"fix","sigma[1]",0.304070579639804,0.3
50,200,0.02,"fix","sigma[2]",0.491341528992895,0.5
51,200,0.02,"fix","epsilon",0.104364441206127,0.1
51,200,0.02,"fix","alpha",0.505764653472511,0.5
51,200,0.02,"fix","gamma",1.19166923606205,1.5
51,200,0.02,"fix","beta",1.09709613252124,1.4
51,200,0.02,"fix","sigma[1]",0.304186915933165,0.3
51,200,0.02,"fix","sigma[2]",0.509494529525168,0.5
52,200,0.02,"fix","epsilon",0.101657637329138,0.1
52,200,0.02,"fix","alpha",0.501437914501386,0.5
52,200,0.02,"fix","gamma",1.50127475797144,1.5
52,200,0.02,"fix","beta",1.53884702000185,1.4
52,200,0.02,"fix","sigma[1]",0.293983630720239,0.3
52,200,0.02,"fix","sigma[2]",0.476702100592232,0.5
53,200,0.02,"fix","epsilon",0.101976940522695,0.1
53,200,0.02,"fix","alpha",0.498475691343007,0.5
53,200,0.02,"fix","gamma",1.64888817320993,1.5
53,200,0.02,"fix","beta",1.48077809065372,1.4
53,200,0.02,"fix","sigma[1]",0.29546899057127,0.3
53,200,0.02,"fix","sigma[2]",0.483147659002825,0.5
54,200,0.02,"fix","epsilon",0.101721610680189,0.1
54,200,0.02,"fix","alpha",0.512006561048959,0.5
54,200,0.02,"fix","gamma",1.10632395390601,1.5
54,200,0.02,"fix","beta",1.08887522399505,1.4
54,200,0.02,"fix","sigma[1]",0.290563585612779,0.3
54,200,0.02,"fix","sigma[2]",0.514835160362634,0.5
55,200,0.02,"fix","epsilon",0.102087903587305,0.1
55,200,0.02,"fix","alpha",0.500312652222189,0.5
55,200,0.02,"fix","gamma",1.29685480574516,1.5
55,200,0.02,"fix","beta",1.2327952107949,1.4
55,200,0.02,"fix","sigma[1]",0.299532140351188,0.3
55,200,0.02,"fix","sigma[2]",0.510988381332431,0.5
56,200,0.02,"fix","epsilon",0.0975390842011896,0.1
56,200,0.02,"fix","alpha",0.498020078617395,0.5
56,200,0.02,"fix","gamma",1.05416910247309,1.5
56,200,0.02,"fix","beta",1.16316308611886,1.4
56,200,0.02,"fix","sigma[1]",0.308962677762981,0.3
56,200,0.02,"fix","sigma[2]",0.511097650973876,0.5
57,200,0.02,"fix","epsilon",0.101827722796421,0.1
57,200,0.02,"fix","alpha",0.514364846255488,0.5
57,200,0.02,"fix","gamma",1.75921229175522,1.5
57,200,0.02,"fix","beta",1.6790896187372,1.4
57,200,0.02,"fix","sigma[1]",0.302470804173764,0.3
