"path","ratio","sub_h","method","parameter","estimate","truth"
73,100,0.01,"random","y",-0.0496404813957714,-0.05
73,100,0.01,"random","sigma",1.65468913067366,1.7
74,100,0.01,"random","epsilon",0.10695928248678,0.1
74,100,0.01,"random","y",-0.0136388310260089,-0.05
74,100,0.01,"random","sigma",1.71643515030198,1.7
75,100,0.01,"random","epsilon",0.0962604882536347,0.1
75,100,0.01,"random","y",-0.0395111596762221,-0.05
75,100,0.01,"random","sigma",1.66591543506644,1.7
76,100,0.01,"random","epsilon",0.0995266071282808,0.1
76,100,0.01,"random","y",-0.0598153918418901,-0.05
76,100,0.01,"random","sigma",1.67564309710164,1.7
77,100,0.01,"random","epsilon",0.0979433865525708,0.1
77,100,0.01,"random","y",-0.0404828850495957,-0.05
77,100,0.01,"random","sigma",1.70371318143679,1.7
78,100,0.01,"random","epsilon",0.10456755778941,0.1
78,100,0.01,"random","y",-0.00590232908382376,-0.05
78,100,0.01,"random","sigma",1.70571925509475,1.7
79,100,0.01,"random","epsilon",0.102691471786639,0.1
79,100,0.01,"random","y",-0.0432751410608122,-0.05
79,100,0.01,"random","sigma",1.70798585443026,1.7
80,100,0.01,"random","epsilon",0.0988057026032891,0.1
80,100,0.01,"random","y",-0.0608520830127416,-0.05
80,100,0.01,"random","sigma",1.66383788227106,1.7
81,100,0.01,"random","epsilon",0.0937745086879377,0.1
81,100,0.01,"random","y",-0.0704845482294676,-0.05
81,100,0.01,"random","sigma",1.69568690382939,1.7
82,100,0.01,"random","epsilon",0.0999532769610929,0.1
82,100,0.01,"random","y",-0.0377588253988655,-0.05
82,100,0.01,"random","sigma",1.68777071002667,1.7
83,100,0.01,"random","epsilon",0.10139700183778,0.1
83,100,0.01,"random","y",-0.0278306969589559,-0.05
83,100,0.01,"random","sigma",1.70000893667383,1.7
84,100,0.01,"random","epsilon",0.110530253144821,0.1
84,100,0.01,"random","y",-0.0502020755648549,-0.05
84,100,0.01,"random","sigma",1.69508019731164,1.7
85,100,0.01,"random","epsilon",0.107657404961797,0.1
85,100,0.01,"random","y",-0.057693577328708,-0.05
85,100,0.01,"random","sigma",1.70291583091626,1.7
86,100,0.01,"random","epsilon",0.101175389206896,0.1
86,100,0.01,"random","y",-0.037114937819827,-0.05
86,100,0.01,"random","sigma",1.73679701285119,1.7
87,100,0.01,"random","epsilon",0.113975456096826,0.1
